"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)","16/26",6.80687756772879e-13,8.12741181586818e-10,0,0,21.79560761347,610.618609215109,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Mitotic Spindle Checkpoint Signaling (GO:0071174)","16/26",6.80687756772879e-13,8.12741181586818e-10,0,0,21.79560761347,610.618609215109,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Spindle Assembly Checkpoint Signaling (GO:0071173)","16/26",6.80687756772879e-13,8.12741181586818e-10,0,0,21.79560761347,610.618609215109,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)","16/28",3.41413714346451e-12,3.05735981197247e-09,0,0,18.1610541727672,479.508062622819,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Mitotic Sister Chromatid Segregation (GO:0000070)","29/111",2.75246983198742e-10,1.80626077859699e-07,0,0,4.84509581237719,106.656801048061,"CDCA5;MIS12;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;CCNB1;CEP55;DLGAP5;SPAG5;BOD1;PLK1;KLHL22;KIF23;TUBG1;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;KIF18B;ESPL1;KIFC1;CHMP2A;KIF2C;CHMP7"
"Cellular Respiration (GO:0045333)","25/85",3.02556244321103e-10,1.80626077859699e-07,0,0,5.69823139277819,124.898131700891,"NDUFB9;COX7B;NDUFB7;UQCRB;NDUFA12;NDUFB11;NDUFB3;ETFA;COX7A2;ETFB;COX6A1;COX5B;COX5A;UQCRH;COX8A;NDUFA6;NDUFA4;NDUFA3;NDUFA1;SDHB;NDUFS8;NDUFS6;UQCRQ;NDUFS5;MTFR2"
"Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)","22/70",8.58769144875763e-10,4.39444439563569e-07,0,0,6.25827205882353,130.644689654715,"COX8A;NDUFB9;COX7B;NDUFB7;NDUFA6;UQCRB;NDUFA12;NDUFA4;NDUFA3;NDUFB3;NDUFA1;COX7A2;COX6A1;COX5B;SDHB;COX5A;UQCRH;UQCRHL;NDUFS8;NDUFS6;UQCRQ;NDUFS5"
"Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","20/59",1.11102782011932e-09,4.97462706458426e-07,0,0,6.9953688015362,144.23037604331,"STIL;PLK1;CDCA8;TTK;KIF11;WDR62;TUBG1;AURKB;NDC80;CENPE;CCNB1;ESPL1;KIF4A;NUF2;STMN1;CDK1;RCC1;BIRC5;DLGAP5;SPC25"
"Mitotic Nuclear Division (GO:0140014)","17/45",2.91592898078182e-09,1.06157520985333e-06,0,0,8.2687074829932,162.50554798022,"SPAG5;UBE2C;MIS12;PLK1;KLHL22;TUBG1;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;KIFC1;UBE2S;CHMP2A;CHMP7"
"Aerobic Electron Transport Chain (GO:0019646)","21/68",2.96363821846268e-09,1.06157520985333e-06,0,0,6.09675301327247,119.721013407154,"COX8A;NDUFB9;COX7B;NDUFB7;NDUFA6;UQCRB;NDUFA4;NDUFA3;NDUFB3;NDUFA1;COX7A2;COX6A1;COX5B;SDHB;COX5A;UQCRH;UQCRHL;NDUFS8;NDUFS6;UQCRQ;NDUFS5"
"Proton Motive Force-Driven ATP Synthesis (GO:0015986)","19/60",1.04927948804527e-08,3.41683556925286e-06,0,0,6.31610686613102,116.043159846787,"NDUFB9;ATP5PF;NDUFB7;ATP5PD;NDUFA6;NDUFA12;NDUFB11;NDUFA3;NDUFB3;NDUFA1;ATP5MC3;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;ATP5MK;ATP5MJ"
"Mitotic Metaphase Plate Congression (GO:0007080)","17/50",1.86873006743439e-08,5.4682253728102e-06,0,0,7.01398601398601,124.816838580871,"CDT1;BOD1;CDCA5;MIS12;KIF14;CDCA8;NDC80;CENPE;CCNB1;KIF18A;KIFC1;NUF2;CHMP2A;KIF2C;MAPRE1;CHMP7;CEP55"
"Sister Chromatid Segregation (GO:0000819)","14/34",1.98455973887584e-08,5.4682253728102e-06,0,0,9.51652046783626,168.778189843169,"TOP2A;SPAG5;MIS12;PLK1;KLHL22;TUBG1;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;KIFC1"
"Mitotic Spindle Organization (GO:0007052)","22/85",4.63467072930923e-08,1.18581361088469e-05,0,0,4.76435574229692,80.4562261202363,"STIL;PLK1;CDCA8;KIF23;TTK;KIF11;WDR62;TUBG1;AURKB;NDC80;AURKA;CENPE;TPX2;CCNB1;KIFC1;KIF4A;NUF2;STMN1;RCC1;BIRC5;DLGAP5;SPC25"
"Oxidative Phosphorylation (GO:0006119)","18/63",1.50313299635245e-07,3.58948159528965e-05,0,0,5.4466275659824,85.5694823365756,"NDUFB9;ATP5PF;NDUFB7;ATP5PD;NDUFA6;UQCRB;NDUFA12;NDUFB11;NDUFA3;NDUFB3;NDUFA1;ATP5F1C;SDHB;UQCRH;ATP5F1E;NDUFS8;NDUFS6;NDUFS5"
"DNA Unwinding Involved In DNA Replication (GO:0006268)","10/20",2.3389059600844e-07,5.23622571813894e-05,0,0,13.5626822157434,207.080624904344,"GINS1;RECQL4;GINS2;CDC45;RAD51;MCM7;HMGA1;MCM4;MCM6;MCM2"
"Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)","16/53",3.18880257776877e-07,6.34571712975986e-05,0,0,5.88215741363618,87.9879585763265,"NDUFB9;ATP5PF;NDUFB7;ATP5PD;NDUFA6;NDUFA12;NDUFB11;NDUFA3;NDUFB3;NDUFA1;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5"
"Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)","16/53",3.18880257776877e-07,6.34571712975986e-05,0,0,5.88215741363618,87.9879585763265,"CDKN2D;CDKN1A;CDKN2C;CDKN2A;GADD45A;CCNF;CDC6;CDC25C;PKMYT1;CDC25A;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CDKN3"
"Mitotic Cell Cycle Phase Transition (GO:0044772)","24/111",4.52214171816133e-07,8.52542717602837e-05,0,0,3.76435935198822,54.9939396189023,"CDKN1A;UBE2C;CCNF;PLK1;CDC25C;PKMYT1;FOXM1;CDC25A;AURKA;HINFP;CCNA2;CCNB2;CCNB1;GPR132;MELK;CCNE2;CCNE1;UBE2S;CDK1;CHMP2A;E2F1;RCC1;CHMP7;CDKN3"
"Kinetochore Organization (GO:0051383)","7/10",7.38841183648173e-07,0.000132326455991388,0,0,31.5890909090909,445.980561399802,"CENPE;CENPF;CENPW;NPC1;MIS12;NUF2;DLGAP5"
"Centromere Complex Assembly (GO:0034508)","8/14",1.0500347895797e-06,0.000175809677555048,0,0,18.061135371179,248.642002241024,"CENPE;CENPF;CENPW;NPC1;MIS12;HJURP;OIP5;DLGAP5"
"Metaphase Plate Congression (GO:0051310)","15/51",1.07979143110303e-06,0.000175809677555048,0,0,5.66386247256767,77.8143489429401,"BOD1;CDCA5;KIF14;CDCA8;NDC80;CENPE;CCNB1;CENPF;KIF18A;KIFC1;CHMP2A;KIF2C;FAM83D;CHMP7;CEP55"
